Item,Patrimônio,Nº Antigo,Garantia,Marca,Modelo,Série,Descrição
1,10,2950,,,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA - DESCRICAO: CLARA COM 02 GAVETAS
2,28,1443,,BORTOLINI,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: CLARA COM 03 GAVETAS
3,93,1344,,PANDIN,,,ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS
4,128,2941,,PANDIN,,,ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS
5,179,3564,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
6,181,3562,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
7,182,3561,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
8,199,2473,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
9,200,2472,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
10,202,2469,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
11,219,3588,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
12,220,3587,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
13,221,3586,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
14,222,3585,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
15,225,2480,,CADERODE,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
16,465,3361,,BOSCH,SUPER HOBBY,87101788,FURADEIRA ELETRICA PORTATIL
17,616,1600,,,,,MESA PARA MICROCOMPUTADOR - DESCRICAO: COM ACABAMENTO EM LAMINADO MELAMINICO
18,772,2946,,,,,ESTANTE EM MADEIRA - DESCRICAO: CLARA COM 03 PRATELEIRAS E 02 PORTAS
19,852,3541,,BALMAK,104,4326,BALANCA DE PLATAFORMA
20,1030,2953,,SANYO,CTP-3791 P,9806263883T031,TELEVISOR EM CORES - DESCRICAO: 14 POLEGADAS
21,1053,2550,,,,,MESA DE CENTRO - DESCRICAO: CLARA COM 03 PRATELEIRAS
22,1074,2954,,SANYO,CTP-3791P,9806266839T031,TELEVISOR EM CORES - DESCRICAO: 14 POLEGADAS
23,1230,3016,,,,,GAVETEIRO VOLANTE EM MADEIRA - DESCRICAO: COM ACABAMENTO EM LAMINADO MELAMINICO COM 05 GAVETAS
24,1411,1811,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: CLARA COM 03 GAVETAS
25,1895,1836,,REFLECTA,,,TELA PARA PROJECAO
26,2063,3537,,ESMALTEC,GELAGUA,445654,BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: COR BEGE COM 02 TORNEIRAS
27,2082,1433,,,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA - DESCRICAO: CLARA COM 02 GAVETAS
28,2110,3690,,WB,,,FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS
29,2111,3691,,WB,,,FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS
30,2112,3689,,WB,,,FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS
31,2150,3688,,WB,,,FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS
32,2158,3681,,ESMALTEC,VERONA,,FOGAO TIPO RESIDENCIAL - DESCRICAO: COR BRANCA COM 04 QUEIMADORES
33,2291,2732,,MAC,80,,BOMBA PARA ABASTECIMENTO - GERADOR
34,2292,2193,,,,,EXTINTOR DE INCENDIO PQS - DESCRICAO: CAPACIDADE 04 QUILOS
35,2464,2644,,IBBL,105GFNI,816A044387,BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: COM 02 TORNEIRAS
36,2590,1383,,PANDIN,,,ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS
37,2618,2864,,,,,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COR PRETA COM ESTRUTURA EM METAL
38,2652,,16/08/2000 a 14/08/2001,CONSUL,,JF0998434,REFRIGERADOR TIPO FRIGOBAR
39,2902,,,CADERODE,,,BANCO DE ESPERA EM PALHINA - DESCRICAO: C/ 03 LUGARES
40,2904,,,CADERODE,,,BANCO DE ESPERA EM PALHINA - DESCRICAO: C/ 03 LUGARES
41,2907,,,CADERODE,,,BANCO DE ESPERA EM PALHINA - DESCRICAO: C/ 03 LUGARES
42,3128,,22/06/2001 a 20/06/2002,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M"
43,3133,,22/06/2001 a 20/06/2002,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETARIA C/ 3 GAVETAS MED. 1,30X0,70X0,74M"
44,3135,,22/06/2001 a 20/06/2002,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M"
45,3136,,22/06/2001 a 20/06/2002,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M"
46,3256,,29/08/2001 a 12/08/2002,,,SMJ010807CODIL-01,PAINEL ELETRONICO - DESCRICAO: COM IMPRESSORA PARA SENHA(SÉRIE: 2499010708419).
47,3328,,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: C/ 02 GAVETAS
48,3350,,18/10/2001 a 10/10/2002,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: TIPO ESCRIVANINHA
49,3388,,15/03/2002 a 14/03/2003,,,160P T,EXTINTOR DE INCENDIO CO2 - DESCRICAO: de 6 k.
50,3390,,15/03/2002 a 14/03/2003,,,N767 T,EXTINTOR DE INCENDIO CO2 - DESCRICAO: DE 06 K.
51,3403,,14/11/2001 a 14/11/2001,COLEMAN,65-5000,85961501,GRUPO GERADOR PORTATIL - DESCRICAO: A GASOLINA
52,3449,,27/12/2001 a 03/11/2001,SPRINGER,,4200B49006,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT DE 12.000 BTU´S
53,3513,,25/04/2002 a 25/04/2003,,,,"ARMARIO PARA COZINHA EM MADEIRA - DESCRICAO: DE LEI, TRABALHADO, C/PRATELEIRAS INTERNAS, MED. 0,50X2,08X0,40M."
54,3518,,,SPRINGER,,2102B12845,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 30.000BTUS
55,3528,,13/05/2002 a 13/05/2003,SPRINGER,,1702B25315,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30.000 BTUS 220V
56,3548,,19/06/2002 a 19/06/2003,,,,ESTANTE EM MADEIRA - DESCRICAO: DE LEI
57,3735,,06/09/2002 a 06/09/2002,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: MEDINDO 1,25MX0,70MX0,74M COM 3 GAVETAS"
58,3829,,14/10/2002 a 07/10/2005,3COM,,0100/LT1G028828,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS - DESCRICAO: CONECTOR 145 110X220
59,3870,,23/10/2002 a 23/10/2002,CCE,,110352,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.
60,3871,,23/10/2002 a 23/10/2002,CCE,,116112,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.
61,3876,,23/10/2002 a 23/10/2002,CCE,,199092,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.
62,3901,,30/10/2002 a 30/10/2003,LG,EC-971B,892,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE
